SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
REF-2015-10,10,1,Juncus balticus,Baltic rush ,30,N,108
REF-2015-10,27,1,Juncus balticus,Baltic rush ,25,N,99
REF-2015-10,9,1,Juncus balticus,Baltic rush ,5,N,
REF-2015-10,23,1,Poa sp.,bluegrass,2,E,
REF-2015-10,21,1,Sagittaria latifolia,broad-leaved arrowhead,2,N,
REF-2015-10,10,2,Sagittaria latifolia,broad-leaved arrowhead,2,N,
REF-2015-10,17,1,Rumex conglomeratus,clustered dock,0.5,E,
REF-2015-10,25,1,Rumex conglomeratus,clustered dock,1,E,
REF-2015-10,15,1,Potentilla egedii,coast silverweed,4,N,
REF-2015-10,9,1,Potentilla egedii,coast silverweed,1,N,
REF-2015-10,20,1,Potentilla egedii,coast silverweed,6,N,
REF-2015-10,25,1,Potentilla egedii,coast silverweed,3,N,
REF-2015-10,8,1,Potentilla egedii,coast silverweed,7,N,
REF-2015-10,24,1,Potentilla egedii,coast silverweed,2,N,
REF-2015-10,3,1,Potentilla egedii,coast silverweed,3,N,
REF-2015-10,23,1,Potentilla egedii,coast silverweed,10,N,
REF-2015-10,6,1,Potentilla egedii,coast silverweed,1,N,
REF-2015-10,11,1,Potentilla egedii,coast silverweed,2,N,
REF-2015-10,7,1,Potentilla egedii,coast silverweed,5,N,
REF-2015-10,15,1,Agrostis capillaris,colonial bentgrass,4,E,
REF-2015-10,14,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-2015-10,9,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-2015-10,20,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-2015-10,17,1,Agrostis capillaris,colonial bentgrass,5,E,
REF-2015-10,8,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-2015-10,24,1,Agrostis capillaris,colonial bentgrass,30,E,
REF-2015-10,3,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-2015-10,23,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-2015-10,11,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-2015-10,13,1,Agrostis capillaris,colonial bentgrass,0.5,E,
REF-2015-10,19,1,Agrostis capillaris,colonial bentgrass,0.5,E,
REF-2015-10,18,1,Agrostis capillaris,colonial bentgrass,2,E,
REF-2015-10,5,1,Agrostis capillaris,colonial bentgrass,1,E,
REF-2015-10,16,1,Agrostis capillaris,colonial bentgrass,0.5,E,
REF-2015-10,12,1,Agrostis capillaris,colonial bentgrass,7,E,
REF-2015-10,4,1,Agrostis capillaris,colonial bentgrass,5,E,
REF-2015-10,22,1,Agrostis capillaris,colonial bentgrass,3,E,
REF-2015-10,17,1,Equisetum arvense,common cattail,2,N,
REF-2015-10,28,1,Equisetum arvense,common cattail,8,N,
REF-2015-10,21,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,27,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,14,1,Eleocharis palustris,common spike-rush,15,N,
REF-2015-10,17,1,Eleocharis palustris,common spike-rush,2,N,
REF-2015-10,8,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,24,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,3,1,Eleocharis palustris,common spike-rush,35,N,
REF-2015-10,23,1,Eleocharis palustris,common spike-rush,9,N,108
REF-2015-10,19,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,18,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,5,1,Eleocharis palustris,common spike-rush,3,N,
REF-2015-10,1,1,Eleocharis palustris,common spike-rush,0.5,N,
REF-2015-10,16,1,Eleocharis palustris,common spike-rush,2,N,
REF-2015-10,12,1,Eleocharis palustris,common spike-rush,3,N,116
REF-2015-10,4,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,22,1,Eleocharis palustris,common spike-rush,10,N,
REF-2015-10,1,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,3,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,4,2,Eleocharis palustris,common spike-rush,4,N,
REF-2015-10,5,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,7,2,Eleocharis palustris,common spike-rush,2,N,
REF-2015-10,8,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,10,2,Eleocharis palustris,common spike-rush,0.5,N,
REF-2015-10,11,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,2,1,Agrostis stolonifera,creeping bentgrass,15,E,
REF-2015-10,27,1,Symphyotrichum subspicatum,Douglas' aster,8,N,
REF-2015-10,14,1,Symphyotrichum subspicatum,Douglas' aster,2,N,
REF-2015-10,7,1,Symphyotrichum subspicatum,Douglas' aster,4,N,
REF-2015-10,21,1,Myosotis scorpiodes,European forget-me-not ,0.5,E,
REF-2015-10,26,1,Myosotis scorpiodes,European forget-me-not ,0.5,E,
REF-2015-10,15,1,Myosotis scorpiodes,European forget-me-not ,0.5,E,
REF-2015-10,2,1,Myosotis scorpiodes,European forget-me-not ,5,E,
REF-2015-10,23,1,Myosotis scorpiodes,European forget-me-not ,6,E,
REF-2015-10,21,1,Lilaea scilloides,flowering quillwort,0.5,N,
REF-2015-10,19,1,Lilaea scilloides,flowering quillwort,0.5,N,
REF-2015-10,16,1,Lilaea scilloides,flowering quillwort,0.5,N,
REF-2015-10,7,2,Lilaea scilloides,flowering quillwort,0.5,N,
REF-2015-10,21,1,,ground,27,S,
REF-2015-10,26,1,,ground,5,S,
REF-2015-10,27,1,,ground,4,S,
REF-2015-10,17,1,,ground,11.5,S,
REF-2015-10,28,1,,ground,47,S,
REF-2015-10,8,1,,ground,6,S,
REF-2015-10,13,1,,ground,30,S,
REF-2015-10,5,1,,ground,19.5,S,
REF-2015-10,1,1,,ground,17,S,
REF-2015-10,16,1,,ground,46,S,
REF-2015-10,22,1,,ground,20,S,
REF-2015-10,1,2,,ground,15,S,
REF-2015-10,2,2,,ground,100,S,
